id,name,documents_url,announcement_url,notices_url
dist-10-jamui-coll,Jamui District Collectorate,https://jamui.nic.in/documents/,,
dist-10-jehanabad-coll,Jehanabad District Collectorate,https://jehanabad.nic.in/documents/,,
dist-10-kaimur_bhabua-coll,Kaimur (Bhabua) District Collectorate,https://kaimur.nic.in/documents/,,
dist-10-katihar-coll,Katihar District Collectorate,https://katihar.nic.in/documents/,,
dist-10-khagaria-coll,Khagaria District Collectorate,https://khagaria.nic.in/documents/,,
dist-10-kishanganj-coll,Kishanganj District Collectorate,https://kishanganj.nic.in/documents/,,
dist-10-lakhisarai-coll,Lakhisarai District Collectorate,https://lakhisarai.nic.in/documents/,,
dist-10-madhepura-coll,Madhepura District Collectorate,https://madhepura.nic.in/documents/,,https://madhepura.nic.in/notice_category/notices/
dist-10-madhubani-coll,Madhubani District Collectorate,https://madhubani.nic.in/documents/,,
dist-10-munger-coll,Munger District Collectorate,https://munger.nic.in/documents/,,
dist-10-muzaffarpur-coll,Muzaffarpur District Collectorate,https://muzaffarpur.nic.in/documents/,,
dist-10-nalanda-coll,Nalanda District Collectorate,https://nalanda.nic.in/documents/,,
dist-10-nawada-coll,Nawada District Collectorate,https://nawada.nic.in/documents/,,
dist-10-pashchim_champaran-coll,Pashchim Champaran District Collectorate,https://westchamparan.nic.in/documents/,,
dist-10-patna-coll,Patna District Collectorate,https://patna.nic.in/documents/,,
dist-10-purbi_champaran-coll,Purbi Champaran District Collectorate,https://eastchamparan.nic.in/documents/,,
dist-10-purnia-coll,Purnia District Collectorate,https://purnea.nic.in/documents/,,
dist-10-rohtas-coll,Rohtas District Collectorate,https://rohtas.nic.in/documents/,,
dist-10-saharsa-coll,Saharsa District Collectorate,https://saharsa.nic.in/documents/,,
dist-10-samastipur-coll,Samastipur District Collectorate,https://samastipur.nic.in/documents/,,
dist-10-saran-coll,Saran District Collectorate,https://saran.nic.in/documents/,,
dist-10-sheikhpura-coll,Sheikhpura District Collectorate,https://sheikhpura.nic.in/documents/,,
dist-10-sheohar-coll,Sheohar District Collectorate,https://sheohar.nic.in/documents/,,
dist-10-sitamarhi-coll,Sitamarhi District Collectorate,https://sitamarhi.nic.in/documents/,,
dist-10-siwan-coll,Siwan District Collectorate,https://siwan.nic.in/documents/,,
dist-10-supaul-coll,Supaul District Collectorate,https://supaul.nic.in/documents/,,
dist-10-vaishali-coll,Vaishali District Collectorate,https://vaishali.nic.in/documents/,,
dist-4-chandigarh-coll,Chandigarh District Collectorate,https://chandigarhdistrict.nic.in/documents/,,
dist-22-balod-coll,Balod District Collectorate,https://balod.gov.in/documents/,,
dist-22-balodabazar_bhatapara-coll,Balodabazar-Bhatapara District Collectorate,https://balodabazar.gov.in/documents/,,
dist-22-balrampur_ramanujganj-coll,Balrampur-Ramanujganj District Collectorate,https://balrampur.gov.in/documents/,,
dist-22-bastar-coll,Bastar District Collectorate,https://bastar.gov.in/documents/,,
dist-22-bemetara-coll,Bemetara District Collectorate,https://bemetara.gov.in/documents/,,
dist-22-bijapur-coll,Bijapur District Collectorate,https://bijapur.gov.in/documents/,,
dist-22-bilaspur-coll,Bilaspur District Collectorate,https://bilaspur.gov.in/documents/,,
dist-22-dakshin_bastar_dantewada-coll,Dakshin Bastar Dantewada District Collectorate,https://dantewada.nic.in/documents/,,
dist-22-dhamtari-coll,Dhamtari District Collectorate,https://dhamtari.gov.in/documents/,,
dist-22-durg-coll,Durg District Collectorate,https://durg.gov.in/documents/,,
